B1,B2,B3
1,1,lAlATi
2,1,rAmayantra
3,1,rAtraubhava
4,1,vidyunmukha
5,2,gharaTTa
6,2,dhruvarAja
7,3,sahasranAmasarayu
8,3,saphalodarka
9,3,vivakvat
10,3,anuvisR
11,3,antarAbhara
12,4,sauvidalla
13,5,cauDadeza
14,6,hval
15,6,yatarathA
16,6,kRSANu
17,6,pANikarNa
18,6,kelikila
19,6,zAntayoni
20,7,kAmopahatacittAGga
21,7,lambauSTha
22,7,vinivartita
23,7,RksaMhitA
24,7,nirdravya
25,8,arAga
26,8,agRhatA
27,8,ArpayitR
28,8,saptaviMzatisAdhulakSaNa
29,9,guNAyana
30,10,vahnijAyA
31,10,agniSTomasAma
32,10,saMdeha
33,11,piMz
34,11,talatas
35,11,dvAdazamUla
36,12,mUSikaratha
37,12,avyUha
38,12,chandobhASA
39,12,aSTamaka
40,12,rajanIjala
41,13,SaDakSara
42,13,mUrtiliGga
43,13,iDAcamasa
44,13,zivamAnasapUjA
45,13,tAli
46,13,samagrazakti
47,14,duSkha
48,14,kakvala
49,14,yamunASTakaTIkA
50,14,RtasadanI
51,14,agaNitapratiyAta
52,14,amlajambIra
53,15,zmazAnakAlikA
54,15,pratimocita
55,15,prazAkhikA
56,15,parinirvA
57,16,visarpakhinnavigraha
58,16,uhAna
59,16,uddhArakoza
60,16,pariprepsu
61,16,ArSeyarAmAyaNa
62,16,magundI
63,17,sarvadaivatya
64,17,ekabhUta
65,17,kAkatIyarudra
66,18,snAtvA
67,18,varSAbhvI
68,18,ekAGgagraha
69,18,vAjacandra
70,19,apAdhA
71,19,nArAyaNamaya
72,19,trikarSa
73,19,avAgvadana
74,19,mUlotkhAta
75,20,kSemavarman
76,20,amRtaloka
77,21,sammantavya
78,22,cikkiNa
79,22,muktarodhonitamba
80,22,azIrtatanu
81,22,bhUkAzyapa
82,23,vibANajya
83,23,dhoyIka
84,23,zanakaizcara
85,23,pramattagIta
86,23,trinetrodbhava
87,23,brahmasambhavasmRti
88,24,devanItha
89,24,chandastva
90,24,pRthakpadatva
91,24,antaHsAmika
